,epoch,avrg_dev_loss,avrg_dev_r2,dev_corr,train_corr,avrg_train_loss,train_time_elapsed
0,0,0.10260396954767845,,0.18216959225528903,0.2150604411437252,0.12108437420848088,21.744165420532227
1,1,0.11636749129084979,,0.20046786462469837,0.38144375108370654,0.1065781424060846,22.016969919204712
2,2,0.10127977500943576,,0.29203373084528084,0.4371947579004317,0.10099714726973803,22.205747604370117
3,3,0.09439606394837885,,0.3128688852462198,0.4567095067388852,0.0943349819853265,22.523454189300537
4,4,0.10412172754021252,,0.33908864056013316,0.4717614540507551,0.08790438994765282,22.671420335769653
5,5,0.09031161030425745,,0.362621283769559,0.5119962946172153,0.08535533882359155,22.707564115524292
6,6,0.09037524549400106,,0.38132635554187844,0.5366045806480672,0.0785304204138935,22.74006485939026
7,7,0.0894684684188927,,0.3908325789212039,0.5581150692439423,0.07742172314061059,22.78297185897827
8,8,0.0879253039465231,,0.4036087120310688,0.5717516279429123,0.07333061427005336,22.80880069732666
9,9,0.08952297752394396,,0.3971081497148895,0.5808988149572852,0.07341213102460417,22.813713312149048
10,10,0.093673225492239,,0.403201640481541,0.5890232987534316,0.07148966979649332,22.822988271713257
11,11,0.08951517172596034,,0.40491260514697786,0.5954888375900919,0.07094427179067563,22.826493978500366
12,12,0.08945352682734237,,0.4046106085557594,0.5999413785447778,0.0694052940632543,22.85430598258972
13,13,0.09056967803660561,,0.40292338077151046,0.6025295685913479,0.06871545528117408,22.85399603843689
14,14,0.09063032006516177,,0.403664780481349,0.6032079880864204,0.06849138776206562,22.85166573524475
